id,address,bedroom_nums,bathroom_nums,car_spaces,price,lat,lon,postcode,land_size_m2,price_per_m2,nearest_city,distance_to_nearest_city,avg_price_by_postcode,postcode_avg_price_per_m2
1740,"13 Milsop Street, Bexley",3.0,1,2.0,1525000.0,-33.9615818,151.1234224,2207.0,372.0,4099.462365591397,Sydney,159.834245930001,1836921.875,3945.6344879537974
1741,"14 Fanning Street, Tempe",3.0,2,1.0,1465000.0,-33.924573,151.1615128,2044.0,286.0,5122.377622377622,Sydney,53.94244012841772,1974357.142857143,6571.078795637533
1742,"65 Sandalwood Crescent, Colebee",3.0,2,2.0,1324000.0,-33.7225614,150.8488381,2761.0,332.0,3987.9518072289156,Sydney,1513.1850948158437,1182829.0,2506.426630529374
1743,"23A Barton Street, Smithfield",4.0,2,1.0,1226500.0,-33.8604047,150.9423578,1860.0,365.8,3352.9250956806995,Sydney,713.2861920293902,1486312.5,2327.4030462031806
1744,"13 Buran Road, Pemulwuy",3.0,2,1.0,1223000.0,-33.8149831,150.9303919,2145.0,300.0,4076.6666666666665,Sydney,806.8598697123335,1601441.282352941,3182.6549325274864
1745,"4A Marina Crescent, Greenacre",3.0,2,1.0,1180000.0,-33.9077381,151.0427555,2190.0,236.4,4991.539763113367,Sydney,292.5324611186514,1719750.0,3528.8444731108575
1746,"9 Caroline Street, Earlwood",2.0,1,1.0,1154000.0,-33.9195117,151.1213321,2206.0,227.0,5083.700440528634,Sydney,103.10027947304259,2404903.2258064514,5087.790008761805
1747,"40 Bowaga Circuit, Villawood",5.0,2,2.0,1012000.0,-33.8752168,150.9929654,2163.0,250.0,4048.0,Sydney,468.4183447940444,1199500.0,2134.883222939778
1748,"16 Eades Street, Marsden Park",3.0,2,1.0,1000000.0,-33.6894487,150.8156568,2765.0,250.0,4000.0,Sydney,1871.2185771794107,1270745.238095238,3851.3150622660773
1749,"50 Seventeenth Avenue, Austral",4.0,2,1.0,980000.0,-33.913943,150.822174,2179.0,792.8574193275176,1236.0356050287228,Sydney,1519.0443032501837,1222357.9206349207,3581.559596436858
1750,"8 Mombri Street, Merrylands",3.0,2,1.0,971000.0,-33.8360452,150.9968422,2160.0,366.0,2653.0054644808743,Sydney,462.1119370388417,1523224.857142857,2893.5608740047724
1751,"39A Malinya Crescent, Moorebank",4.0,2,2.0,915000.0,-33.9406846,150.9545497,2170.0,393.0,2328.2442748091603,Sydney,700.6511106725569,1385365.5913978494,2826.032895077948
1752,"9 Jennifer Street, Ryde",5.0,5,6.0,2900000.0,-33.802182,151.106191,2112.0,298.0,9731.543624161073,Sydney,150.69423805003413,2885103.8260869565,5491.656664999516
1753,"85 Northumberland Avenue, Stanmore",4.0,2,2.0,2765000.0,-33.891325,151.168391,2048.0,221.0,12511.31221719457,Sydney,21.8092190600001,2556428.5714285714,10658.327519189794
1754,"15 Pasquale Avenue, Bella Vista",4.0,2,2.0,2625000.0,-33.7302149,150.9565948,2153.0,282.4,9295.325779036828,Sydney,830.6574804905425,2142530.048780488,3123.7592953666053
1755,"69 North Road, Ryde",5.0,3,2.0,2450000.0,-33.799424,151.104186,2112.0,326.0,7515.337423312883,Sydney,158.61982372002834,2885103.8260869565,5491.656664999516
1756,"2/8 Chadwick Street, Putney",3.0,2,1.0,2435000.0,-33.8291915,151.1052223,2112.0,286.0,8513.986013986014,Sydney,124.01000909541,2885103.8260869565,5491.656664999516
1757,"21 London Court, Kellyville",5.0,3,2.0,2300000.0,-33.721738,150.947434,2155.0,400.0,5750.0,Sydney,902.0103380001318,1888431.1224489796,3920.772507013026
1758,"5A Bishop Street, Revesby",5.0,3,2.0,1850000.0,-33.942464,151.021968,2212.0,370.0,5000.0,Sydney,405.1966312000996,1555779.4117647058,4268.301814640618
1759,"16B Banksia Avenue, Engadine",4.0,3,2.0,1660000.0,-34.0583138,151.008689,2233.0,306.0,5424.83660130719,Sydney,761.6025371144381,1549243.9024390243,2287.400090591772
1760,"43a Arab Road, Padstow",4.0,2,1.0,1625000.0,-33.9516802,151.0264131,2211.0,329.0,4939.209726443769,Sydney,403.1674574364961,1691985.7142857143,3560.059931594957
1761,"4B Cosford Close, Chipping Norton",4.0,2,2.0,1550000.0,-33.917363,150.953297,2170.0,341.9,4533.489324363849,Sydney,678.9590097801093,1385365.5913978494,2826.032895077948
1762,"4a Belgium Street, Auburn",4.0,3,3.0,1510000.0,-33.8640149,151.0199271,2144.0,377.0,4005.3050397877983,Sydney,358.8499243642889,1727166.6666666667,2779.159918263859
1763,"48 Barry Road, North Kellyville",5.0,2,2.0,1439500.0,-33.6864733,150.9519488,2155.0,376.0,3828.4574468085107,Sydney,994.7266567433746,1888431.1224489796,3920.772507013026
1764,"11 Cummings Avenue, Pemulwuy",4.0,2,2.0,1400000.0,-33.820772,150.932012,2145.0,312.5,4480.0,Sydney,791.9532372801523,1601441.282352941,3182.6549325274864
1765,"30 Henson Way, Box Hill",4.0,2,2.0,1350000.0,-33.6401185,150.8928517,2765.0,300.0,4500.0,Sydney,1524.3475501515213,1270745.238095238,3851.3150622660773
1766,"31 Badham Street, Merrylands",4.0,2,3.0,1271000.0,-33.844059,151.003762,2160.0,382.0,3327.2251308900522,Sydney,428.5798652500751,1523224.857142857,2893.5608740047724
1767,"5 Empire Circuit, Penrith",4.0,2,2.0,1110000.0,-33.745562,150.696292,2750.0,270.0,4111.111111111111,Sydney,2783.6481270801396,1153690.0,1672.595737175395
1768,"16 Bernabeu Street, Marsden Park",4.0,2,2.0,1070000.0,-33.7130714,150.8180591,2765.0,387.5,2761.2903225806454,Sydney,1773.2083869078192,1270745.238095238,3851.3150622660773
1769,"37 Burrows Avenue, Edmondson Park",3.0,2,1.0,1031000.0,-33.954941,150.848726,2174.0,322.0,3201.863354037267,Sydney,1374.3388135700966,1248777.7777777778,3722.086991781922
1770,"23 Gledswood Hills Drive, Gledswood Hills",4.0,2,2.0,974000.0,-34.0115617,150.7927162,2557.0,262.0,3717.557251908397,Wollongong,1833.312296893275,1207210.5263157894,3198.2633277250734
1771,"24 Hadlow Avenue, Glenfield",3.0,2,2.0,945000.0,-33.9642713,150.8876767,2167.0,275.4,3431.372549019608,Sydney,1125.563162265975,1335200.0,2306.5273735424335
1772,"43 Manorhouse Boulevard, Quakers Hill",3.0,1,1.0,940000.0,-33.7190673,150.8807351,2763.0,326.0,2883.435582822086,Sydney,1303.7477496130268,1279882.9787234042,2870.176781308772
1774,"6 Harvest Street, Austral",3.0,2,1.0,915000.0,-33.946924,150.8001791,2179.0,247.0,3704.453441295547,Sydney,1734.832701928144,1222357.9206349207,3581.559596436858
